round,sensor_id,aoi_before,aoi_after,visited
1,1,0,3,1
1,2,0,19,0
1,3,0,5,1
1,4,0,7,1
1,5,0,17,1
1,6,0,1,1
1,7,0,9,1
1,8,0,19,0
1,9,0,19,0
1,10,0,19,0
1,11,0,19,0
1,12,0,13,1
1,13,0,15,1
1,14,0,11,1
1,15,0,19,0
2,1,3,22,0
2,2,19,11,1
2,3,5,24,0
2,4,7,26,0
2,5,17,7,1
2,6,1,20,0
2,7,9,28,0
2,8,19,15,1
2,9,19,13,1
2,10,19,1,1
2,11,19,9,1
2,12,13,3,1
2,13,15,5,1
2,14,11,30,0
2,15,19,17,1
3,1,22,3,1
3,2,11,30,0
3,3,24,5,1
3,4,26,7,1
3,5,7,26,0
3,6,20,1,1
3,7,28,15,1
3,8,15,11,1
3,9,13,9,1
3,10,1,20,0
3,11,9,28,0
3,12,3,22,0
3,13,5,24,0
3,14,30,13,1
3,15,17,17,1
4,1,3,22,0
4,2,30,13,1
4,3,5,24,0
4,4,7,26,0
4,5,26,17,1
4,6,1,20,0
4,7,15,11,1
4,8,11,7,1
4,9,9,28,0
4,10,20,9,1
4,11,28,15,1
4,12,22,1,1
4,13,24,3,1
4,14,13,32,0
4,15,17,5,1
5,1,22,3,1
5,2,13,32,0
5,3,24,5,1
5,4,26,13,1
5,5,17,17,1
5,6,20,1,1
5,7,11,9,1
5,8,7,26,0
5,9,28,15,1
5,10,9,28,0
5,11,15,11,1
5,12,1,20,0
5,13,3,22,0
5,14,32,7,1
5,15,5,24,0
6,1,3,22,0
6,2,32,9,1
6,3,5,24,0
6,4,13,1,1
6,5,17,17,1
6,6,1,20,0
6,7,9,28,0
6,8,26,5,1
6,9,15,7,1
6,10,28,11,1
6,11,11,30,0
6,12,20,13,1
6,13,22,15,1
6,14,7,26,0
6,15,24,3,1
7,1,22,3,1
7,2,9,28,0
7,3,24,17,1
7,4,1,20,0
7,5,17,5,1
7,6,20,1,1
7,7,28,13,1
7,8,5,24,0
7,9,7,26,0
7,10,11,30,0
7,11,30,11,1
7,12,13,9,1
7,13,15,7,1
7,14,26,15,1
7,15,3,22,0
8,1,3,22,0
8,2,28,13,1
8,3,17,11,1
8,4,20,17,1
8,5,5,24,0
8,6,1,20,0
8,7,13,3,1
8,8,24,9,1
8,9,26,7,1
8,10,30,1,1
8,11,11,30,0
8,12,9,28,0
8,13,7,26,0
8,14,15,5,1
8,15,22,15,1
9,1,22,7,1
9,2,13,32,0
9,3,11,9,1
9,4,17,11,1
9,5,24,17,1
9,6,20,5,1
9,7,3,22,0
9,8,9,28,0
9,9,7,26,0
9,10,1,20,0
9,11,30,15,1
9,12,28,1,1
9,13,26,3,1
9,14,5,24,0
9,15,15,13,1
10,1,7,26,0
10,2,32,3,1
10,3,9,28,0
10,4,11,30,0
10,5,17,17,1
10,6,5,24,0
10,7,22,9,1
10,8,28,13,1
10,9,26,5,1
10,10,20,11,1
10,11,15,15,1
10,12,1,20,0
10,13,3,22,0
10,14,24,7,1
10,15,13,1,1
11,1,26,15,1
11,2,3,22,0
11,3,28,13,1
11,4,30,11,1
11,5,17,1,1
11,6,24,9,1
11,7,9,28,0
11,8,13,5,1
11,9,5,24,0
11,10,11,30,0
11,11,15,3,1
11,12,20,17,1
11,13,22,7,1
11,14,7,26,0
11,15,1,20,0
12,1,15,15,1
12,2,22,3,1
12,3,13,5,1
12,4,11,30,0
12,5,1,20,0
12,6,9,28,0
12,7,28,9,1
12,8,5,24,0
12,9,24,1,1
12,10,30,7,1
12,11,3,22,0
12,12,17,13,1
12,13,7,26,0
12,14,26,11,1
12,15,20,17,1
13,1,15,3,1
13,2,3,22,0
13,3,5,24,0
13,4,30,13,1
13,5,20,17,1
13,6,28,1,1
13,7,9,28,0
13,8,24,9,1
13,9,1,20,0
13,10,7,26,0
13,11,22,15,1
13,12,13,5,1
13,13,26,7,1
13,14,11,30,0
13,15,17,11,1
14,1,3,22,0
14,2,22,15,1
14,3,24,13,1
14,4,13,5,1
14,5,17,1,1
14,6,1,20,0
14,7,28,9,1
14,8,9,28,0
14,9,20,17,1
14,10,26,7,1
14,11,15,3,1
14,12,5,24,0
14,13,7,26,0
14,14,30,11,1
14,15,11,30,0
15,1,22,7,1
15,2,15,11,1
15,3,13,17,1
15,4,5,24,0
15,5,1,20,0
15,6,20,5,1
15,7,9,28,0
15,8,28,15,1
15,9,17,9,1
15,10,7,26,0
15,11,3,22,0
15,12,24,1,1
15,13,26,3,1
15,14,11,30,0
15,15,30,13,1
16,1,7,26,0
16,2,11,30,0
16,3,17,17,1
16,4,24,9,1
16,5,20,1,1
16,6,5,24,0
16,7,28,13,1
16,8,15,5,1
16,9,9,28,0
16,10,26,11,1
16,11,22,3,1
16,12,1,20,0
16,13,3,22,0
16,14,30,15,1
16,15,13,7,1
17,1,26,15,1
17,2,30,3,1
17,3,17,13,1
17,4,9,28,0
17,5,1,20,0
17,6,24,17,1
17,7,13,9,1
17,8,5,24,0
17,9,28,5,1
17,10,11,30,0
17,11,3,22,0
17,12,20,1,1
17,13,22,7,1
17,14,15,11,1
17,15,7,26,0
18,1,15,15,1
18,2,3,22,0
18,3,13,13,1
18,4,28,3,1
18,5,20,7,1
18,6,17,17,1
18,7,9,28,0
18,8,24,11,1
18,9,5,24,0
18,10,30,5,1
18,11,22,9,1
18,12,1,20,0
18,13,7,26,0
18,14,11,30,0
18,15,26,1,1
19,1,15,7,1
19,2,22,11,1
19,3,13,17,1
19,4,3,22,0
19,5,7,26,0
19,6,17,1,1
19,7,28,13,1
19,8,11,30,0
19,9,24,9,1
19,10,5,24,0
19,11,9,28,0
19,12,20,5,1
19,13,26,3,1
19,14,30,15,1
19,15,1,20,0
20,1,7,26,0
20,2,11,30,0
20,3,17,1,1
20,4,22,9,1
20,5,26,17,1
20,6,1,20,0
20,7,13,5,1
20,8,30,13,1
20,9,9,28,0
20,10,24,7,1
20,11,28,11,1
20,12,5,24,0
20,13,3,22,0
20,14,15,3,1
20,15,20,15,1
21,1,26,11,1
21,2,30,3,1
21,3,1,20,0
21,4,9,28,0
21,5,17,17,1
21,6,20,13,1
21,7,5,24,0
21,8,13,7,1
21,9,28,5,1
21,10,7,26,0
21,11,11,30,0
21,12,24,1,1
21,13,22,15,1
21,14,3,22,0
21,15,15,9,1
22,1,11,30,0
22,2,3,22,0
22,3,20,11,1
22,4,28,13,1
22,5,17,1,1
22,6,13,17,1
22,7,24,7,1
22,8,7,26,0
22,9,5,24,0
22,10,26,9,1
22,11,30,3,1
22,12,1,20,0
22,13,15,15,1
22,14,22,5,1
22,15,9,28,0
23,1,30,11,1
23,2,22,7,1
23,3,11,9,1
23,4,13,32,0
23,5,1,20,0
23,6,17,17,1
23,7,7,26,0
23,8,26,3,1
23,9,24,5,1
23,10,9,28,0
23,11,3,22,0
23,12,20,13,1
23,13,15,15,1
23,14,5,24,0
23,15,28,1,1
24,1,11,30,0
24,2,7,26,0
24,3,9,28,0
24,4,32,13,1
24,5,20,17,1
24,6,17,1,1
24,7,26,9,1
24,8,3,22,0
24,9,5,24,0
24,10,28,11,1
24,11,22,15,1
24,12,13,5,1
24,13,15,3,1
24,14,24,7,1
24,15,1,20,0
25,1,30,3,1
25,2,26,7,1
25,3,28,5,1
25,4,13,15,1
25,5,17,1,1
25,6,1,20,0
25,7,9,28,0
25,8,22,11,1
25,9,24,9,1
25,10,11,30,0
25,11,15,13,1
25,12,5,24,0
25,13,3,22,0
25,14,7,26,0
25,15,20,17,1
26,1,3,22,0
26,2,7,26,0
26,3,5,24,0
26,4,15,15,1
26,5,1,20,0
26,6,20,1,1
26,7,28,5,1
26,8,11,30,0
26,9,9,28,0
26,10,30,7,1
26,11,13,3,1
26,12,24,11,1
26,13,22,13,1
