round,sensor_id,aoi_before,aoi_after,visited
1,1,0,19,0
1,2,0,19,0
1,3,0,17,1
1,4,0,3,1
1,5,0,19,0
1,6,0,9,1
1,7,0,19,0
1,8,0,5,1
1,9,0,19,0
1,10,0,19,0
1,11,0,19,0
1,12,0,19,0
1,13,0,19,0
1,14,0,13,1
1,15,0,19,0
1,16,0,15,1
1,17,0,19,0
1,18,0,7,1
1,19,0,19,0
1,20,0,11,1
1,21,0,19,0
1,22,0,19,0
1,23,0,19,0
1,24,0,1,1
1,25,0,19,0
2,1,19,17,1
2,2,19,15,1
2,3,17,1,1
2,4,3,22,0
2,5,19,38,0
2,6,9,28,0
2,7,19,38,0
2,8,5,24,0
2,9,19,38,0
2,10,19,38,0
2,11,19,5,1
2,12,19,38,0
2,13,19,9,1
2,14,13,32,0
2,15,19,38,0
2,16,15,34,0
2,17,19,38,0
2,18,7,26,0
2,19,19,11,1
2,20,11,30,0
2,21,19,7,1
2,22,19,38,0
2,23,19,13,1
2,24,1,20,0
2,25,19,3,1
3,1,17,36,0
3,2,15,34,0
3,3,1,20,0
3,4,22,41,0
3,5,38,11,1
3,6,28,47,0
3,7,38,17,1
3,8,24,43,0
3,9,38,3,1
3,10,38,5,1
3,11,5,24,0
3,12,38,15,1
3,13,9,28,0
3,14,32,51,0
3,15,38,13,1
3,16,34,53,0
3,17,38,7,1
3,18,26,45,0
3,19,11,30,0
3,20,30,1,1
3,21,7,26,0
3,22,38,9,1
3,23,13,32,0
3,24,20,39,0
3,25,3,22,0
4,1,36,3,1
4,2,34,5,1
4,3,20,39,0
4,4,41,15,1
4,5,11,30,0
4,6,47,7,1
4,7,17,36,0
4,8,43,13,1
4,9,3,22,0
4,10,5,24,0
4,11,24,43,0
4,12,15,34,0
4,13,28,47,0
4,14,51,9,1
4,15,13,32,0
4,16,53,11,1
4,17,7,26,0
4,18,45,1,1
4,19,30,49,0
4,20,1,20,0
4,21,26,45,0
4,22,9,28,0
4,23,32,51,0
4,24,39,17,1
4,25,22,41,0
5,1,3,22,0
5,2,5,24,0
5,3,39,1,1
5,4,15,34,0
5,5,30,5,1
5,6,7,26,0
5,7,36,3,1
5,8,13,32,0
5,9,22,41,0
5,10,24,43,0
5,11,43,9,1
5,12,34,53,0
5,13,47,13,1
5,14,9,28,0
5,15,32,51,0
5,16,11,30,0
5,17,26,45,0
5,18,1,20,0
5,19,49,15,1
5,20,20,39,0
5,21,45,11,1
5,22,28,47,0
