round,sensor_id,aoi_before,aoi_after,visited
1,1,0,19,0
1,2,0,5,1
1,3,0,3,1
1,4,0,17,1
1,5,0,9,1
1,6,0,1,1
1,7,0,13,1
1,8,0,11,1
1,9,0,15,1
1,10,0,19,0
1,11,0,19,0
1,12,0,19,0
1,13,0,19,0
1,14,0,7,1
1,15,0,19,0
2,1,19,5,1
2,2,5,24,0
2,3,3,22,0
2,4,17,17,1
2,5,9,28,0
2,6,1,20,0
2,7,13,1,1
2,8,11,30,0
2,9,15,7,1
2,10,19,13,1
2,11,19,11,1
2,12,19,15,1
2,13,19,9,1
2,14,7,26,0
2,15,19,3,1
3,1,5,24,0
3,2,24,5,1
3,3,22,3,1
3,4,17,17,1
3,5,28,9,1
3,6,20,1,1
3,7,1,20,0
3,8,30,11,1
3,9,7,26,0
3,10,13,15,1
3,11,11,30,0
3,12,15,13,1
3,13,9,28,0
3,14,26,7,1
3,15,3,22,0
4,1,24,5,1
4,2,5,24,0
4,3,3,22,0
4,4,17,17,1
4,5,9,28,0
4,6,1,20,0
4,7,20,1,1
4,8,11,30,0
4,9,26,7,1
4,10,15,15,1
4,11,30,11,1
4,12,13,13,1
4,13,28,9,1
4,14,7,26,0
4,15,22,3,1
5,1,5,24,0
5,2,24,5,1
5,3,22,3,1
5,4,17,17,1
5,5,28,9,1
5,6,20,1,1
5,7,1,20,0
5,8,30,11,1
5,9,7,26,0
5,10,15,15,1
5,11,11,30,0
5,12,13,13,1
5,13,9,28,0
5,14,26,7,1
5,15,3,22,0
6,1,24,5,1
6,2,5,24,0
6,3,3,22,0
6,4,17,17,1
6,5,9,28,0
6,6,1,20,0
6,7,20,1,1
6,8,11,30,0
6,9,26,7,1
6,10,15,15,1
6,11,30,11,1
6,12,13,13,1
6,13,28,9,1
6,14,7,26,0
6,15,22,3,1
7,1,5,24,0
7,2,24,5,1
7,3,22,3,1
7,4,17,17,1
7,5,28,9,1
7,6,20,1,1
7,7,1,20,0
7,8,30,11,1
7,9,7,26,0
7,10,15,15,1
7,11,11,30,0
7,12,13,13,1
7,13,9,28,0
7,14,26,7,1
7,15,3,22,0
8,1,24,5,1
8,2,5,24,0
8,3,3,22,0
8,4,17,17,1
8,5,9,28,0
8,6,1,20,0
8,7,20,1,1
8,8,11,30,0
8,9,26,7,1
8,10,15,15,1
8,11,30,11,1
8,12,13,13,1
8,13,28,9,1
8,14,7,26,0
8,15,22,3,1
9,1,5,24,0
9,2,24,5,1
9,3,22,3,1
9,4,17,17,1
9,5,28,9,1
9,6,20,1,1
9,7,1,20,0
9,8,30,11,1
9,9,7,26,0
9,10,15,15,1
9,11,11,30,0
9,12,13,13,1
9,13,9,28,0
9,14,26,7,1
9,15,3,22,0
10,1,24,5,1
10,2,5,24,0
10,3,3,22,0
10,4,17,17,1
