round,sensor_id,aoi_before,aoi_after,visited
1,1,0,19,0
1,2,0,19,0
1,3,0,13,1
1,4,0,11,1
1,5,0,19,0
1,6,0,9,1
1,7,0,19,0
1,8,0,19,0
1,9,0,5,1
1,10,0,19,0
1,11,0,19,0
1,12,0,19,0
1,13,0,19,0
1,14,0,19,0
1,15,0,19,0
1,16,0,19,0
1,17,0,19,0
1,18,0,19,0
1,19,0,17,1
1,20,0,19,0
1,21,0,19,0
1,22,0,19,0
1,23,0,19,0
1,24,0,15,1
1,25,0,7,1
1,26,0,19,0
1,27,0,19,0
1,28,0,1,1
1,29,0,3,1
1,30,0,19,0
2,1,19,38,0
2,2,19,38,0
2,3,13,13,1
2,4,11,11,1
2,5,19,38,0
2,6,9,9,1
2,7,19,38,0
2,8,19,38,0
2,9,5,24,0
2,10,19,1,1
2,11,19,38,0
2,12,19,5,1
2,13,19,3,1
2,14,19,38,0
2,15,19,38,0
2,16,19,38,0
2,17,19,38,0
2,18,19,38,0
2,19,17,17,1
2,20,19,7,1
2,21,19,38,0
2,22,19,38,0
2,23,19,38,0
2,24,15,15,1
2,25,7,26,0
2,26,19,38,0
2,27,19,38,0
2,28,1,20,0
2,29,3,22,0
2,30,19,38,0
3,1,38,57,0
3,2,38,17,1
3,3,13,32,0
3,4,11,30,0
3,5,38,13,1
3,6,9,28,0
3,7,38,15,1
3,8,38,7,1
3,9,24,43,0
3,10,1,20,0
3,11,38,57,0
3,12,5,24,0
3,13,3,22,0
3,14,38,1,1
3,15,38,57,0
3,16,38,57,0
3,17,38,3,1
3,18,38,5,1
3,19,17,36,0
3,20,7,26,0
3,21,38,57,0
3,22,38,57,0
3,23,38,9,1
3,24,15,34,0
3,25,26,45,0
3,26,38,57,0
3,27,38,57,0
3,28,20,39,0
3,29,22,41,0
3,30,38,11,1
4,1,57,76,0
4,2,17,36,0
4,3,32,13,1
4,4,30,11,1
4,5,13,32,0
4,6,28,9,1
4,7,15,34,0
4,8,7,26,0
4,9,43,5,1
4,10,20,39,0
4,11,57,76,0
4,12,24,43,0
4,13,22,41,0
4,14,1,20,0
4,15,57,76,0
4,16,57,76,0
4,17,3,22,0
4,18,5,24,0
4,19,36,17,1
4,20,26,45,0
4,21,57,76,0
4,22,57,1,1
4,23,9,28,0
4,24,34,15,1
4,25,45,7,1
4,26,57,76,0
4,27,57,76,0
4,28,39,58,0
4,29,41,3,1
4,30,11,30,0
5,1,76,11,1
5,2,36,55,0
